match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,home_penalty_score,away_penalty_score,status,result_type,home_xg,away_xg,referee_id,player_of_the_match_id
33,6/20/2026,15:00,1,10,17,19,2,1,,,Completed,Regular,1.85,0.72,1,442
34,6/20/2026,18:00,1,12,20,18,0,0,,,Completed,Regular,1.92,0.08,2,443
35,6/20/2026,21:00,1,14,21,23,5,1,,,Completed,Regular,3.45,0.88,3,531
36,6/20/2026,23:59,1,16,24,22,0,4,,,Completed,Regular,0.35,3.12,4,564
37,6/21/2026,15:00,1,11,25,27,0,0,,,Completed,Regular,1.45,0.62,5,677
38,6/21/2026,18:00,1,13,28,26,1,3,,,Completed,Regular,0.55,2.15,6,660
39,6/21/2026,21:00,1,15,29,31,4,0,,,Completed,Regular,3.28,0.25,7,749
40,6/21/2026,23:59,1,2,32,30,2,2,,,Completed,Regular,1.65,1.1,8,755
41,6/22/2026,15:00,1,4,33,35,3,0,,,Completed,Regular,2.21,0.45,9,842
42,6/22/2026,18:00,1,6,36,34,3,2,,,Completed,Regular,1.95,1.48,10,919
43,6/22/2026,21:00,1,8,37,39,2,0,,,Completed,Regular,1.78,0.55,11,946
44,6/22/2026,23:59,1,10,40,38,1,2,,,Completed,Regular,0.88,1.92,12,984
45,6/23/2026,15:00,1,12,41,43,5,0,,,Completed,Regular,3.54,0.42,13,1047
46,6/23/2026,18:00,1,14,44,42,1,0,,,Completed,Regular,1.62,0.58,14,1120
47,6/23/2026,21:00,1,16,45,47,0,0,,,Completed,Regular,1.12,0.89,15,1147
48,6/23/2026,23:59,1,1,48,46,0,1,,,Completed,Regular,0.42,1.48,16,1181
49,6/24/2026,18:00,1,1,4,1,0,3,,,Completed,Regular,1.1,1.27,1,20
50,6/24/2026,18:00,1,7,2,3,1,0,,,Completed,Regular,1.26,1.39,2,38
51,6/24/2026,22:00,1,5,8,5,2,1,,,Completed,Regular,0.71,1.35,3,191
52,6/24/2026,22:00,1,6,6,7,3,1,,,Completed,Regular,1.48,0.95,4,149
53,6/25/2026,18:00,1,2,12,9,0,3,,,Completed,Regular,0.45,2.18,5,215
54,6/25/2026,18:00,1,10,10,11,4,2,,,Completed,Regular,2.35,1.12,6,236
55,6/25/2026,22:00,1,3,16,13,3,2,,,Completed,Regular,1.62,1.45,7,398
56,6/25/2026,22:00,1,15,14,15,0,0,,,Completed,Regular,0.55,0.48,8,339
57,6/26/2026,18:00,1,9,20,17,2,1,,,Completed,Regular,1.28,1.55,9,514
58,6/26/2026,18:00,1,11,18,19,0,2,,,Completed,Regular,0.32,1.68,10,487
59,6/26/2026,22:00,1,12,24,21,1,3,,,Completed,Regular,0.62,2.15,11,539
60,6/26/2026,22:00,1,16,22,23,1,1,,,Completed,Regular,1.12,0.95,12,557
61,6/27/2026,18:00,1,4,28,25,1,5,,,Completed,Regular,0.48,3.25,13,634
62,6/27/2026,18:00,1,8,26,27,1,1,,,Completed,Regular,0.85,0.92,14,699
63,6/27/2026,22:00,1,13,32,29,0,1,,,Completed,Regular,0.78,1.35,15,743
64,6/27/2026,22:00,1,14,30,31,0,0,,,Completed,Regular,0.42,0.38,16,755
65,6/26/2026,18:00,1,10,36,33,1,4,,,Completed,Regular,1.3,0.96,1,839
66,6/26/2026,18:00,1,2,34,35,5,0,,,Completed,Regular,3.01,0.14,2,871
67,6/27/2026,22:00,1,15,40,37,1,3,,,Completed,Regular,0.76,2.13,3,946
68,6/27/2026,22:00,1,3,38,39,3,3,,,Completed,Regular,1.62,1.44,4,969
69,6/28/2026,18:00,1,13,44,41,0,0,,,Completed,Regular,1.62,0.73,5,1041
70,6/28/2026,18:00,1,9,42,43,3,1,,,Completed,Regular,2.35,0.2,6,1086
71,6/28/2026,22:00,1,2,48,45,0,2,,,Completed,Regular,0.69,1.39,7,1154
72,6/28/2026,22:00,1,14,46,47,2,1,,,Completed,Regular,0.42,0.74,8,1187
73,6/29/2026,12:00,2,3,2,5,0,1,,,Completed,Regular,0.13,1.32,17,111
74,6/29/2026,23:00,2,11,9,22,2,1,,,Completed,Regular,1.69,0.23,18,213
75,6/30/2026,2:30,2,10,17,14,1,1,3,4,Completed,Penalties,0.72,0.42,19,350
76,6/30/2026,7:00,2,8,21,10,1,1,2,3,Completed,Penalties,0.23,1.4,8,248
77,6/30/2026,23:00,2,4,19,36,1,2,,,Completed,Regular,1.15,2.02,7,930
78,7/1/2026,3:00,2,2,33,23,3,0,,,Completed,Regular,3.17,0.67,6,842
79,7/1/2026,7:00,2,1,1,20,2,0,,,Completed,Regular,1.02,0.73,20,16
80,7/1/2026,22:00,2,9,45,42,2,1,,,Completed,Regular,2.04,0.76,21,1153
81,7/2/2026,2:00,2,16,25,34,3,2,,,Completed,AET,1.74,3.58,22,632
82,7/2/2026,6:00,2,15,13,6,2,0,,,Completed,Regular,0.92,0.25,23,329
83,7/3/2026,1:00,2,3,29,39,3,0,,,Completed,Regular,2.84,0.32,24,749
84,7/3/2026,5:00,2,6,41,46,2,1,,,Completed,Regular,2.18,1.34,25,1047
85,7/3/2026,9:00,2,5,8,38,2,0,,,Completed,Regular,2.52,0.73,26,189
86,7/4/2026,0:00,2,4,15,26,1,1,2,4,Completed,Penalties,0.87,1.36,27,660
87,7/4/2026,4:00,2,13,37,30,3,2,,,Completed,AET,2.16,0.46,28,946
88,7/4/2026,7:30,2,12,44,47,1,0,,,Completed,Regular,2.19,0.26,5,1129
89,7/4/2026,21:00,3,14,14,33,0,1,,,Completed,Regular,0.3,1.8,13,350
90,7/4/2026,23:00,3,11,5,10,0,3,,,Completed,Regular,0.8,1.2,3,242
91,7/5/2026,20:00,3,4,9,36,1,2,,,Completed,Regular,2.61,1.05,14,919
92,7/6/2026,1:00,3,1,1,45,2,3,,,Completed,Regular,1.88,1.61,14,1154
93,7/6/2026,19:00,3,13,41,29,0,1,,,Completed,Regular,0.63,1.69,4,734
94,7/7/2026,0:00,3,15,13,25,1,4,,,Completed,Regular,0.67,2.15,9,641
95,7/7/2026,16:00,3,12,37,26,3,2,,,Completed,Regular,2.12,1.54,1,946
96,7/7/2026,20:00,3,16,8,44,0,0,4,3,Completed,Penalties,1.15,1.46,10,183
97,7/9/2026,20:00,4,10,33,10,2,0,,,Completed,Regular,3.1,0.13,16,842
98,7/10/2026,19:00,4,3,29,25,2,1,,,Completed,Regular,2.08,0.37,3,747
99,7/11/2026,21:00,4,13,36,45,1,2,,,Completed,AET,0.77,0.96,5,1154
100,7/12/2026,1:00,4,12,37,8,3,1,,,Completed,AET,2,0.53,17,945
101,7/14/2026,20:00,5,4,33,29,0,2,,,Completed,Regular,0.3,1.63,10,740
102,7/15/2026,20:00,5,9,45,37,1,2,,,Completed,Regular,0.54,1.8,6,946
103,7/18/2026,22:00,6,13,33,45,4,6,,,Completed,Regular,2.88,2.88,7,1151
104,7/19/2026,20:00,7,2,29,37,1,0,,,Completed,AET,0.52,0.09,20,735
